2,1
3,1
4,1
4,6
4,10
13,1
13,6
13,11
27,1
27,7
29,1
29,10
29,11
29,2
32,1
32,5
32,9
33,1
33,7
33,11
33,10
40,1
45,1
59,1
6,1
6,5
6,10
6,2
10,1
10,2
10,5
10,6
15,1
15,12
15,11
15,10
21,1
23,1
23,5
23,4
37,1
41,1
41,7
41,9
42,1
42,9
46,1
46,9
46,7
46,12
52,1
55,1
55,12
55,11
55,8
5,1
5,9
5,2
5,5
8,1
8,7
8,9
8,12
22,1
26,1
26,2
26,12
28,1
28,2
28,4
28,3
30,1
30,6
43,1
43,11
43,9
53,1
54,1
54,8
54,7
54,11
56,1
56,7
56,12
58,1
58,12
7,1
7,7
11,1
16,1
16,3
16,11
16,9
25,1
25,12
25,6
34,1
35,1
35,4
35,9
35,10
38,1
39,1
39,12
39,10
39,3
49,1
60,1
1,1
1,10
9,1
9,2
12,1
14,1
14,6
14,9
17,1
17,2
17,10
17,7
18,1
18,8
18,10
19,1
19,3
19,5
20,1
24,1
31,1
36,1
36,7
36,9
44,1
44,2
44,12
47,1
47,12
47,6
48,1
48,2
50,1
50,9
51,1
51,3
51,10
51,11
57,1
