89,asia
94,asia
95,asia
68,europe
86,europe
87,europe
99,europe
103,europe
108,europe
117,europe
64,north america
82,north america
100,north america
104,north america
118,north america
120,north america
76,africa
101,africa
119,africa
63,south america
84,south america
88,south america
91,south america
105,south america
66,central america
67,central america
69,central america
74,central america
97,central america
110,central america
112,central america
70,none
71,none
77,none
98,none
107,none
62,none
65,none
83,none
85,none
106,none
114,none
115,none
93,asia
96,asia
111,asia
61,none
75,none
78,none
80,none
81,none
92,none
109,none
72,none
73,none
79,none
90,none
102,none
113,none
116,none
