agent1,20.00,0.100
agent2,22.00,0.105
agent3,24.00,0.110
agent4,26.00,0.115
agent5,28.00,0.120
agent6,32.00,0.130
agent7,40.00,0.150
agent8,56.00,0.190
agent9,88.00,0.270
agent10,152.00,0.430
broker1,15.00,0.000
broker2,18.00,0.000
broker3,21.00,0.000
broker4,24.00,0.000
broker5,27.00,0.000
broker6,33.00,0.000
broker7,45.00,0.000
broker8,69.00,0.000
broker9,117.00,0.000
broker10,213.00,0.000
Manager1,30.00,0.000
Manager2,31.00,0.000
Manager3,32.00,0.000
Manager4,33.00,0.000
Manager5,34.00,0.000
Manager6,36.00,0.000
Manager7,40.00,0.000
Manager8,48.00,0.000
Manager9,64.00,0.000
Manager10,96.00,0.000
